Market Date:,Daily Peak hour HE (EST),Minimum Hour HE(EST),Hours (LMP prices - $ Per MW,MISO System,Illinois hub,Michigan hub,Minnesota Hub,Indiana Hub,Arkansas Hub,Louisiana Hub,Texas Hub,MS.HUB,,
  07/31/2022,,,Around the Clock,,,,,,,,,,,
  07/31/2022,18,6,Low,(159.36),39.97,40.88,(4.61),41.23,49.48,51.03,51.13,50.24,,
  07/31/2022,18,6,Average,58.92,72.01,71.83,25.99,72.18,66.40,69.30,68.51,68.82,,
  07/31/2022,18,6,High,412.88,104.04,100.52,70.61,99.90,87.21,90.35,87.42,91.5,,
  07/31/2022,18,6,On-Peak,,,,,,,,,,,
  07/31/2022,18,6,Low,,,,,,,,,,,
  07/31/2022,18,6,Average,,,,,,,,,,,
  07/31/2022,18,6,High,,,,,,,,,,,
  07/31/2022,18,6,Off-Peak,,,,,,,,,,,
  07/31/2022,18,6,Low,(159.36),39.97,40.88,(4.61),41.23,49.48,51.03,51.13,50.24,,
  07/31/2022,18,6,Average,58.92,72.01,71.83,25.99,72.18,66.40,69.30,68.51,68.82,,
  07/31/2022,18,6,High,412.88,104.04,100.52,70.61,99.90,87.21,90.35,87.42,91.50,,
  08/01/2022,,,Around the Clock,,,,,,,,,,,
  08/01/2022,17,4,Low,(68.26),42.76,44.43,19.01,44.77,47.81,44.96,51.19,44.36,,
  08/01/2022,17,4,Average,89.07,92.66,94.19,72.66,95.45,88.30,89.61,88.92,90.41,,
  08/01/2022,17,4,High,595.11,202.78,206.26,162.95,208.61,200.05,204.41,200.87,207.08,,
  08/01/2022,17,4,On-Peak,,,,,,,,,,,
  08/01/2022,17,4,Low,(68.26),60.20,62.96,53.85,63.45,59.23,60.99,60.22,60.86,,
  08/01/2022,17,4,Average,107.56,110.44,112.22,93.09,113.70,104.66,106.75,104.27,108.04,,
  08/01/2022,17,4,High,595.11,202.78,206.26,162.95,208.61,200.05,204.41,200.87,207.08,,
  08/01/2022,17,4,Off-Peak,,,,,,,,,,,
  08/01/2022,17,4,Low,(66.76),42.76,44.43,19.01,44.77,47.81,44.96,51.19,44.36,,
  08/01/2022,17,4,Average,52.10,57.09,58.14,31.79,58.94,55.59,55.34,58.24,55.14,,
  08/01/2022,17,4,High,350.75,81.97,81.99,57.51,83.12,75.60,76.40,75.25,77.50,,
  08/02/2022,,,Around the Clock,,,,,,,,,,,
  08/02/2022,18,4,Low,(407.45),58.26,58.28,15.19,59.01,49.17,52.17,49.69,51.76,,
  08/02/2022,18,4,Average,77.86,89.38,89.78,69.00,90.76,74.92,76.83,74.01,82.36,,
  08/02/2022,18,4,High,911.84,167.53,176.52,171.13,176.49,103.42,108.71,101.41,144.67,,
  08/02/2022,18,4,On-Peak,,,,,,,,,,,
  08/02/2022,18,4,Low,(407.45),73.60,72.07,24.43,72.47,61.72,65.25,62.09,65.19,,
  08/02/2022,18,4,Average,89.56,100.30,101.64,88.93,102.61,84.02,85.35,82.42,93.67,,
  08/02/2022,18,4,High,911.84,167.53,176.52,171.13,176.49,103.42,108.71,101.41,144.67,,
  08/02/2022,18,4,Off-Peak,,,,,,,,,,,
