Market Date:,Daily Peak hour HE (EST),Minimum Hour HE(EST),Hours (LMP prices - $ Per MW,MISO System,Illinois hub,Michigan hub,Minnesota Hub,Indiana Hub,Arkansas Hub,Louisiana Hub,Texas Hub,MS.HUB
  07/31/2022,18,6,Hour  01,47.26,59.42,60.91,(4.61),60.34,55.53,57.27,57.38,56.96
  07/31/2022,18,6,Hour  02,41.02,53.87,52.56,2.13,52.37,55.45,56.23,57.07,55.34
  07/31/2022,18,6,Hour  03,40.01,53.79,51.57,1.71,51.61,53.62,54.71,55.39,53.83
  07/31/2022,18,6,Hour  04,36.92,49.38,47.27,(0.35),47.40,49.98,51.39,51.55,50.69
  07/31/2022,18,6,Hour  05,37.57,46.12,47.24,3.47,47.43,52.51,53.50,53.91,51.33
  07/31/2022,18,6,Hour  06,39.53,50.09,50.26,(3.68),50.59,49.48,51.31,51.13,50.43
  07/31/2022,18,6,Hour  07,33.88,39.97,40.88,(1.42),41.23,49.76,51.03,51.15,50.24
  07/31/2022,18,6,Hour  08,45.24,51.09,52.78,19.04,52.92,51.55,53.45,53.06,52.81
  07/31/2022,18,6,Hour  09,51.17,55.77,57.22,25.42,57.49,53.83,56.00,55.55,55.54
  07/31/2022,18,6,Hour  10,59.97,65.14,67.63,30.74,67.44,62.93,65.39,65.35,64.96
  07/31/2022,18,6,Hour  11,67.41,75.69,79.01,30.16,78.45,73.39,76.58,76.27,76.15
  07/31/2022,18,6,Hour  12,67.49,84.71,84.36,24.65,85.35,72.38,77.50,76.85,76.96
  07/31/2022,18,6,Hour  13,67.02,82.02,83.12,28.35,83.14,77.10,81.04,80.28,79.04
  07/31/2022,18,6,Hour  14,64.52,85.30,84.53,25.22,85.14,79.82,83.06,82.29,78.88
  07/31/2022,18,6,Hour  15,67.56,96.03,91.75,27.47,92.69,77.56,81.86,80.75,81.49
  07/31/2022,18,6,Hour  16,66.24,93.91,88.58,27.20,89.28,76.85,80.66,79.88,81.05
  07/31/2022,18,6,Hour  17,74.75,104.04,100.52,32.23,99.90,83.52,87.52,85.21,88.43
  07/31/2022,18,6,Hour  18,78.89,95.81,95.78,46.50,96.59,80.74,85.69,82.45,86.67
  07/31/2022,18,6,Hour  19,78.41,90.41,88.80,48.18,91.18,80.57,84.54,82.00,85.27
  07/31/2022,18,6,Hour  20,86.18,93.03,95.96,65.49,95.88,87.21,90.35,87.42,91.50
  07/31/2022,18,6,Hour  21,78.15,81.69,84.71,70.61,84.63,77.58,80.68,78.64,81.43
  07/31/2022,18,6,Hour  22,71.96,79.61,80.03,61.35,80.04,73.78,76.92,75.40,77.19
  07/31/2022,18,6,Hour  23,60.86,79.11,76.52,32.42,78.46,62.13,66.90,65.94,66.60
  07/31/2022,18,6,Hour  24,52.11,62.31,61.97,31.45,62.69,56.39,59.51,59.21,58.83
,,,,,,,,,,,,
  08/01/2022,17,4,Hour  01,44.96,56.03,54.96,23.00,56.78,49.00,49.23,54.11,48.49
  08/01/2022,17,4,Hour  02,42.89,47.50,48.40,19.01,49.13,51.05,47.17,57.00,46.48
  08/01/2022,17,4,Hour  03,40.77,42.76,44.43,22.89,44.77,48.27,44.96,53.06,44.36
  08/01/2022,17,4,Hour  04,42.54,44.16,45.79,24.25,46.21,47.81,45.81,51.76,45.26
  08/01/2022,17,4,Hour  05,47.83,49.50,51.54,24.94,51.92,49.55,51.15,51.19,50.70
  08/01/2022,17,4,Hour  06,52.04,54.18,56.41,38.02,56.89,53.66,55.48,55.07,55.07
  08/01/2022,17,4,Hour  07,59.12,60.20,62.96,53.85,63.45,59.23,60.99,60.22,60.86
  08/01/2022,17,4,Hour  08,68.19,68.49,71.83,55.82,72.13,66.85,68.82,67.64,68.81
  08/01/2022,17,4,Hour  09,75.05,75.66,77.13,67.32,79.48,74.30,76.19,74.97,76.37
  08/01/2022,17,4,Hour  10,77.00,77.26,80.21,70.03,80.65,76.17,78.13,76.29,78.40
  08/01/2022,17,4,Hour  11,89.71,90.01,92.43,79.69,93.15,88.16,91.22,87.53,91.48
  08/01/2022,17,4,Hour  12,116.48,118.79,121.37,97.40,122.52,115.58,119.70,114.44,120.49
  08/01/2022,17,4,Hour  13,109.77,113.58,115.57,86.69,117.13,110.94,115.04,110.36,115.79
  08/01/2022,17,4,Hour  14,111.05,115.53,115.58,81.27,119.10,113.96,118.22,114.61,118.69
  08/01/2022,17,4,Hour  15,122.95,127.42,129.01,91.19,131.42,126.25,130.22,126.78,131.14
  08/01/2022,17,4,Hour  16,198.16,202.78,206.26,162.95,208.61,200.05,204.41,200.87,207.08
  08/01/2022,17,4,Hour  17,123.85,125.67,127.24,109.81,128.66,122.85,124.74,123.09,126.71
  08/01/2022,17,4,Hour  18,169.98,171.80,173.25,160.36,175.08,166.10,166.68,164.70,170.24
  08/01/2022,17,4,Hour  19,111.12,114.02,114.66,106.22,115.88,102.86,102.24,100.54,105.05
  08/01/2022,17,4,Hour  20,108.20,114.03,114.33,105.56,115.86,89.02,88.25,86.77,90.86
  08/01/2022,17,4,Hour  21,91.87,96.85,97.56,87.10,98.88,81.88,82.13,80.33,84.04
  08/01/2022,17,4,Hour  22,88.36,95.02,96.06,74.22,97.24,80.30,81.08,79.11,82.66
  08/01/2022,17,4,Hour  23,75.51,80.59,81.99,57.51,82.71,75.60,76.40,75.25,77.50
